First Name,Last Name,Title,Company,Website,Person Linkedin Url,segment
Audrius,Janulis,Co-founder,speekz.app,speekz.app,https://linkedin.com/in/audriusjanulis,INFLUENCER_PLATFORMS
Edwin,CONTE,CEO & Founder Speakiz.fr,speekz.app,speekz.app,https://linkedin.com/in/%F0%9F%8C%90-edwin-conte-6aa48a60,INFLUENCER_PLATFORMS
Nessrin,Younes,Co-Founder Speek Health,speekz.app,speekz.app,https://linkedin.com/in/nessrin-younes-262381173,INFLUENCER_PLATFORMS
Amanda,Melving,"Founder & Creative Director, I AM SQUARED",Creatively Squared,creativelysquared.com,https://linkedin.com/in/amanda-melving-51931244,INFLUENCER_PLATFORMS
Noha,Sahmoud,Co-Founder & Managing Partner,geniepot.ma,geniepot.ma,https://linkedin.com/in/noha-sahmoud-749661127,INFLUENCER_PLATFORMS
Danny,Gazit,CEO,hypebuzzhq.com,hypebuzzhq.com,https://linkedin.com/in/dannygazit,INFLUENCER_PLATFORMS
Mitchel,Elsen,Co-Founder,hypebuzzhq.com,hypebuzzhq.com,https://linkedin.com/in/mitchel-elsen-6685bb4,INFLUENCER_PLATFORMS
Sergei,Soloviev,Cofounder & CEO @Viqeo.tv / Cofounder and CEO @Xstocked / Ex-Videonow (acq. by VEON),viqeo.tv,viqeo.tv,https://linkedin.com/in/sergei-soloviev,INFLUENCER_PLATFORMS
Michael,Wilson,CEO,viqeo.tv,viqeo.tv,https://linkedin.com/in/michael-wilson-c-e-t-177092137,INFLUENCER_PLATFORMS
Spyros,Arvanitidis,Founder - CEO,viqeo.tv,viqeo.tv,https://linkedin.com/in/spyros-arvanitidis-59747383,INFLUENCER_PLATFORMS
Giles,Adams,CEO,viqeo.tv,viqeo.tv,https://linkedin.com/in/giadams,INFLUENCER_PLATFORMS
Baoliang,Lee,Cryptocurrency compliance & security technology I CEO,youblicity.com,youblicity.com,https://linkedin.com/in/baoliang-lee-07203817a,INFLUENCER_PLATFORMS
Johan,Ribbeklint,CEO,Starbuzz.ai,starbuzz.ai,https://linkedin.com/in/johan-ribbeklint-1099b126,INFLUENCER_PLATFORMS
Stefan,Van Overbeke,Chief Executive Officer & Founder,BETANDEAL,betandeal.com,https://linkedin.com/in/stefan-van-overbeke-76a6675,INFLUENCER_PLATFORMS
Ben,Kittow,CEO & Founder,warriorstreaming.com,warriorstreaming.com,https://linkedin.com/in/benkittow,INFLUENCER_PLATFORMS
Rudiger,J. Ellis,CEO,warriorstreaming.com,warriorstreaming.com,https://linkedin.com/in/rudyjellis,INFLUENCER_PLATFORMS
James,Wilkinson,Founder & CEO,warriorstreaming.com,warriorstreaming.com,https://linkedin.com/in/james-wilkinson-streamingtank,INFLUENCER_PLATFORMS
Damian,Kozłowski,CEO,LinkPizza - Content & Influencer Marketplace,linkpizza.com,https://linkedin.com/in/damian-koz%C5%82owski-a787278b,INFLUENCER_PLATFORMS
Pnina,Shraga,Founder & CEO,LinkPizza - Content & Influencer Marketplace,linkpizza.com,https://linkedin.com/in/pnina-shraga-9b943622,INFLUENCER_PLATFORMS
Ryan,Roslansky,CEO,Following,following.ae,https://linkedin.com/in/ryanroslansky,INFLUENCER_PLATFORMS
Blain,Gerhart,CEO,Following,following.ae,https://linkedin.com/in/blain-gerhart,INFLUENCER_PLATFORMS
Kevin,Dorry,CEO and Founder of Lolly,Lolly.com,lolly.com,https://linkedin.com/in/kevin-dorry-85a4a26b,INFLUENCER_PLATFORMS
André,Palma,CEO da Zup Innovation,zupotsu.com,zupotsu.com,https://linkedin.com/in/andrebpalma,INFLUENCER_PLATFORMS
Turan,Selvi,"Founder, CEO",Clipster,clipster.gg,https://linkedin.com/in/turan-selvi,INFLUENCER_PLATFORMS
Stefan,Afrăsinei,Founder,Clipster,clipster.gg,https://linkedin.com/in/stefanafrasinei,INFLUENCER_PLATFORMS
