First Name,Last Name,Title,Company,Website,Person Linkedin Url,Email,Country,City,Seniority
Dorin,Bo***u,Co-Founder & CEO,2Performant.com (AERO: 2P),2parale.ro,,,,,
Ana,Op***a,Deputy CEO,2Performant.com (AERO: 2P),2parale.ro,,,,,
Viktor,Ga***k,Head of Strategic Partnerships,"5DM.cz, s.r.o.",5dm.cz,,,,,
Do,Hu***g,Chief Executive Officer,ACCESSTRADE Vietnam,accesstrade.vn,,,,,
Accesstrade,Vi***m,Chief Marketing Officer,ACCESSTRADE Vietnam,accesstrade.vn,,,,,
Minh,Ng***T,Chief Product Officer,ACCESSTRADE Vietnam,accesstrade.vn,,,,,
Thuan,Ng***n,Chief Technology Officer,ACCESSTRADE Vietnam,accesstrade.vn,,,,,
Lionello,De***o,Director of Marketing,ActiveJunky.com,activejunky.com,,,,,
Kevin,Mc***y,Founder & CEO,ActiveJunky.com,activejunky.com,,,,,
Heimar,Sv***n,Chief Executive Officer,Addrevenue,addrevenue.io,,,,,
Peter,La***n,Founder / Chief Technology Officer,Addrevenue,addrevenue.io,,,,,
Jens,Ko***r,CEO,ad pepper Group,adpeppergroup.com,,,,,
Thierry,La***t,CEO,ad pepper Group,adpeppergroup.com,,,,,
Yvonne,Ro***i,Head of Marketing,ad pepper Group,adpeppergroup.com,,,,,
Saurabh,Si***h,"Co-Founder, C.E.O",Adsplay International (Adsplay.in),adsplay.in,,,,,
Son,Pi***z,Founder,Affitor,affitor.com,,,,,
Faizan,Ay***i,CEO,Affnook,affnook.com,,,,,
Ayrton,Zi***i,Chief Everything Officer,Affonso - Affiliate Software for SaaS,affonso.io,,,,,
Michal,Ko***z,CTO,Aftrad,aftrad.com,,,,,
Engr,So***o,Founder,AiDigiLens,aidigilens.com,,,,,
Jort,Le***n,Co-Founder,Alenzo Collective,alenzocollective.com,,,,,
Quinten,Vo***n,Co-Founder,Alenzo Collective,alenzocollective.com,,,,,
Ehsan,Mu***d,Founder of Allcouponat | Since 2020,allcouponat,allcouponat.com,,,,,
David,Ka***z,Co-Founder,Archer Affiliates,archeraffiliates.com,,,,,
Noam,Gr***s,Co-Founder,Archer Affiliates,archeraffiliates.com,,,,,
Abdirahman,Ra***d,Chief Executive Officer,ARFmedia.com,arfmedia.com,,,,,
Giovanni,Ga***o,Chief Marketing Officer,BetAffiliation eGaming Network,betaffiliation.com,,,,,
Paulo,Me***s,CEO,Betmedia,betmedia.es,,,,,
Daniel,Fe***z,"Co-FOUNDER, CEO",Betmedia,betmedia.es,,,,,
Nwanedo,Oz***a,Marketing Director,Betmedia,betmedia.es,,,,,
Martine,La***s,Founder,Blue Webmedia,bluewebmedia.nl,,,,,
Rohan,Si***a,Co-Founder,Bubblehouse,bubblehouse.com,,,,,
Brian,Mao,Co-Founder,Bubblehouse,bubblehouse.com,,,,,
Guy,Na***e,Chief Operating Officer,Bucket – Opportunity Awaits,bucket.tech,,,,,
Fatih,Oz***r,Founder,BudgetFitter®,budgetfitter.uk,,,,,
Thilo,Ga***s,Geschäftsführer / CEO,Checkout Charlie GmbH - a member of solute.,checkout-charlie.com,,,,,
Caroline,Zi***g,Head of Analytics & Sales Services,Checkout Charlie GmbH - a member of solute.,checkout-charlie.com,,,,,
Vincent,St***g,Head of Engineering,Checkout Charlie GmbH - a member of solute.,checkout-charlie.com,,,,,
Muhammad,Ka***m,Head of Information Technology,Checkout Charlie GmbH - a member of solute.,checkout-charlie.com,,,,,
